# This file contains the absolute magnitudes for the ZAMS using blackbody assumptions and interpolated spectra.
# The ZAMS is based on MESA single star models with Z=0.002
# I have used Kurucz models from the grid/data002/ygoetberg/spectral_libraries/Kurucz/gridm10odfnew/coubesm10k2odfnew.dat to model the spectra of the ZAMS.
Minit	UVW2_BB 	 UVW2_spec	UVM2_BB 	 UVM2_spec	UVW1_BB 	 UVW1_spec	U_BB 	 U_spec	B_BB 	 B_spec	V_BB 	 V_spec	R_BB 	 R_spec	I_BB 	 I_spec	J_BB 	 J_spec	H_BB 	 H_spec	Ks_BB 	 Ks_spec
6.66	-5.066968915487292	-4.864214187004986	-4.595741603971999	-4.279637431893828	-5.175478023934175	-4.808192939904552	-4.574061541397678	-4.06094374143062	-3.9854335104081446	-3.6669091729672165	-3.59021891837521	-3.2473965180358655	-3.9041436888405934	-3.521237077717641	-3.5470139229158333	-3.1247840456514258	-4.777476082913318	-3.5230673830403756	-5.024406436854493	-2.573900077429098	-5.890557239367568	-2.252996331868567
7.37	-5.37015782241574	-5.186957784779931	-4.88360940678742	-4.593899686647313	-5.453425718204884	-5.115800980625239	-4.8189795469775945	-4.3326921079394145	-4.219244237868763	-3.907106531328879	-3.8137979012475443	-3.4772699914799876	-4.1225224701356264	-3.747042843279616	-3.7589589441404847	-3.3443028962249293	-4.984536179196378	-3.7302999088477646	-5.231466533137552	-2.776536592148285	-6.097617335650628	-2.451439195150125
8.15	-5.662780313413148	-5.506190083731802	-5.16190016480345	-4.904397465262653	-5.722688242622666	-5.419656958295301	-5.05744208135881	-4.6022611189859415	-4.4474206015476145	-4.14659775245572	-4.03248331417807	-3.7067565181850233	-4.336382604105794	-3.972572536229231	-3.9668391388074293	-3.563771065364169	-5.18787013451262	-3.9377849399652547	-5.434800488453795	-2.9794658974300803	-6.30095129096687	-2.6501716366088477
9.0	-5.94610688716379	-5.823464998491037	-5.431951642658377	-5.212871845041125	-5.984588224549875	-5.721509969457818	-5.290882056364353	-4.871098244089492	-4.671414320995183	-4.38699504296159	-4.247746793982064	-3.937303737831906	-4.54720576953806	-4.199225293524854	-4.172150540998536	-3.7844680985441146	-5.388985929075036	-4.146841068011201	-5.63591628301621	-3.1841853343350563	-6.502067085529286	-2.8509068154065895
9.96	-6.220166274847852	-6.138642696562803	-5.693670850859571	-5.519581347630269	-6.238907758408178	-6.021931259057286	-5.518793814461349	-5.139908835900905	-4.890608853399538	-4.628630669424217	-4.458871835374911	-4.1691516506694395	-4.754224669260962	-4.427138879795289	-4.374064580758542	-4.0064558608303145	-5.587009337746613	-4.3573472972245675	-5.833939691687789	-3.390548104328945	-6.700090494200863	-3.053506141080329
11.01	-6.485121302705021	-6.449997101466847	-5.9471088809748585	-5.8235492765231704	-6.485590793557165	-6.320686399575254	-5.740862467522348	-5.40995443826143	-5.1045917563094525	-4.872126660989069	-4.665357864061041	-4.403037775841132	-4.956893992452551	-4.65725357665027	-4.571981810506845	-4.23096235907294	-5.781300489101225	-4.570613141993401	-6.028230843042399	-3.600018916975371	-6.894381645555475	-3.2594838297154025
12.17	-6.743511292911655	-6.751719236839349	-6.195014888209046	-6.120174469867048	-6.727471886760647	-6.614380305357338	-5.960355737375855	-5.681499284196953	-5.316762106559456	-5.118728554109415	-4.870728079570878	-4.640961820317488	-5.1588003533021185	-4.892087502261642	-4.769569304874452	-4.461522307410838	-5.975588725688091	-4.7913395325015316	-6.222519079629265	-3.817966219275401	-7.088669882142341	-3.4746602130527826
13.45	-6.990224248628655	-7.0331568639151225	-6.431601987976685	-6.3987046026337175	-6.958350047882854	-6.892222581289085	-6.16962085134504	-5.942985550914645	-5.5189846212896585	-5.3567872876968465	-5.066400771365708	-4.8712916902342185	-5.351134800388913	-5.119862953856405	-4.957735829406735	-4.68639204988256	-6.160567780975441	-5.007900916537128	-6.407498134916616	-4.032704814567165	-7.273648937429691	-3.6872502607257833
14.87	-7.232300776620799	-7.293349425649815	-6.664607794114152	-6.657774902211903	-7.186332033040036	-7.152374826556528	-6.378244678818685	-6.193257295446868	-5.721321816519287	-5.5881119185986865	-5.262882491658139	-5.096749869793834	-5.5446304167725895	-5.3435887184134305	-5.147498324664886	-4.908848531367024	-6.3474722866736375	-5.224618892969221	-6.5944026406148115	-4.248494866998583	-7.460553443127887	-3.9015519925087445
16.44	-7.466601611758507	-7.527867782347154	-6.8904703340698825	-6.891274775227007	-7.407596255692482	-7.387666178884094	-6.581498171372381	-6.422872579656679	-5.918743243110747	-5.803177634748171	-5.454864110521046	-5.307783570127064	-5.733836288715083	-5.553933376802923	-5.333229824683579	-5.119495687846535	-6.530541223459184	-5.432453697899326	-6.777471577400359	-4.456155806864473	-7.643622379913434	-4.108331491022186
